Model,Train MAE,Train R2,Validation MAE,Validation R2,Test MAE,Test R2
LightGBM,0.3013003465851302,0.8662280279409756,0.35014109609411753,0.8264727792203148,0.36139847586967255,0.8273403423662322
XGBoost,0.33612761720952594,0.8342849422686284,0.36614504549064164,0.8178639032957518,0.38861731031774194,0.8009832723138592
RandomForest,0.3092310698565697,0.8581749550733061,0.3518152714260301,0.8292145376405504,0.3747271350256649,0.8191749615502764
SVR,0.23686355720086819,0.8811060811521721,0.28838646600147116,0.8534189855424448,0.33004831778980626,0.8258666642144692
kNN,2.487647572765731e-08,0.9999999999999926,0.32826302244273664,0.8285743961893572,0.3680933237586485,0.8125738976761336
Stacked_Predictor,0.21879761986417304,0.9249753123822557,0.3200274476273227,0.8527093970206152,0.34504220531238977,0.8401015901977995
