,Sols,elysium2028,elysium2031,oxia2028,oxia2031,mawrth_vallis2028,mawrth_vallis2031,vernal2028,vernal2031,valles2028,valles2031,aram2028,aram2031,meridiani2028,meridiani2031,eberswalde2028,eberswalde2031
0,,3.5919788118689953,3.7935689196941262,3.697340770443348,3.3817791029568265,3.6983953983573894,3.3417940990591988,3.70613768049365,3.731449244474849,3.161456907644033,3.8365421838808076,3.5704918442826914,3.741042667819008,3.5925883292508964,3.894109611244649,2.7560764829121647,3.728884294780782
1,,3.587778945251623,3.7891498704783757,3.6943450602313463,3.378738998012218,3.6935987625631306,3.336774372145835,3.7000392668162534,3.7217863311048385,3.156465338764444,3.8279339174782,3.5642006748711745,3.7331102398182834,3.586879633920118,3.8846984730453333,2.7500296961662904,3.717700175304617
2,,3.58357907863425,3.7847308212626243,3.6913493500193444,3.375698893067609,3.6888021267688718,3.3317546452324707,3.6939408531388565,3.7121234177348277,3.151473769884854,3.8193256510755926,3.557909505459658,3.725177811817558,3.5811709385893393,3.8752873348460177,2.743982909420416,3.706516055828452
3,,3.579381671927276,3.7803143506751065,3.6883548549938405,3.372660156564834,3.684008607931936,3.326738697464334,3.6878474701194675,3.702473067729946,3.146486151515894,3.8107270767976353,3.5516238941707834,3.7172538222463185,3.5754667904126918,3.865887612901754,2.7379427792536046,3.695348789305441
4,,3.575189186906612,3.775903039292218,3.68536279097732,3.369624157741164,3.6792213256354707,3.321730311682594,3.6817641538144805,3.692847865902985,3.141506438232774,3.8021479010485537,3.545349405522399,3.7093467212663023,3.569771741253345,3.8565107416202395,2.7319159718291504,3.68421526216875
5,,3.5710024364636666,3.771497739264081,3.682373560611124,3.366591349718464,3.67444130891259,3.3167307336186393,3.675692560710489,3.6832519196609934,3.13653593150422,3.7935913008578606,3.539087868080401,3.701459277536816,3.5640872890260766,3.847160458284767,2.7259046699627683,3.673120967041832
6,,3.566821762395478,3.7670988089208586,3.6793873342027887,3.3635619238764263,3.6696689895205656,3.3117404841547113,3.6696333817656437,3.6736869146867126,3.1315751748140124,3.785058587945744,3.5328400430756246,3.693592636606577,3.5584140591420073,3.837838301309829,2.719909775662285,3.66206814188054
7,,3.5637888485635436,3.762272085222765,3.676460731809441,3.357584267055679,3.6649238696796664,3.3029724260489264,3.6644766739687094,3.6636205001118096,3.1290563290658695,3.778516974609629,3.5274350981301668,3.6853047385521673,3.5543524196597924,3.828946079553399,2.716591400680956,3.65391277099035
8,,3.561500406218153,3.7571424385021235,3.6735703691079373,3.3496296473881815,3.660202634081501,3.2916547800904237,3.6598936679959846,3.6532286349246714,3.128142982322018,3.7733021092163312,3.522560872090802,3.676730280065221,3.5513355197951806,3.8203414101187696,2.7150116624393106,3.6476930511120247
9,,3.5597145538762014,3.7517848770257487,3.6707022274416445,3.340280876453103,3.655503273012689,3.2785247099253665,3.6556872838405736,3.642616874919059,3.1283334105452894,3.769015388422544,3.518030287443195,3.6679501603889237,3.5490234276004458,3.8119388917480435,2.71460820124518,3.6428318528596564
