Ls,TOA,Eff,Direct,Diffuse,DD,Unnamed: 0
0.0,520.1427302322344,468.093566870598,288.08548617939823,209.3117217339532,3.87e-10,0.0
5.0,512.6837883680518,465.1337779084017,295.5496618469365,197.19083262961072,3.56e-10,1.0
10.0,504.8813762139523,461.56218253431246,302.7167280414793,184.70401685213156,3.25e-10,2.0
15.0,496.8380183385203,457.5016816543375,309.6631584479119,171.9052595423554,2.94e-10,3.0
20.0,488.6648062831719,453.0049995999392,316.1799422183331,159.09890393210003,2.6433333333333335e-10,4.0
25.0,480.4791361420952,448.3054738990496,322.673579575018,146.0835980511995,2.346666666666667e-10,5.0
30.0,472.4026370365996,440.7230982907079,287.18087169951104,178.53747278046143,2.05e-10,6.0
35.0,464.5592876042119,432.0132075583221,271.25589995699994,186.92710186200247,1.8833333333333333e-10,7.0
40.0,457.0736893555878,423.5989748611564,257.00070478722193,193.71891869062145,1.7166666666666667e-10,8.0
45.0,450.0694421545907,415.6278123284132,244.3439445595312,199.1672881033512,1.55e-10,9.0
50.0,443.6675504586604,409.8207309217071,237.57437764208387,200.28645730188745,1.4533333333333335e-10,10.0
55.0,437.9847820042019,404.7536298500261,232.09791132673465,200.7624633991761,1.3566666666666666e-10,11.0
60.0,433.1319060134073,400.5657639860916,227.95954500021972,200.70490579752544,1.26e-10,12.0
65.0,429.21175767715806,395.9167436054711,221.30753376719557,203.03396492822736,1.2666666666666667e-10,13.0
70.0,426.3171098155258,392.3869823261149,216.1795621478098,204.8923490445408,1.2733333333333333e-10,14.0
75.0,424.5283785747218,390.0795540872107,212.5819576994792,206.39255393922264,1.28e-10,15.0
80.0,423.9112416226724,389.0797711106911,210.52757929183937,207.6188276963392,1.2933333333333333e-10,16.0
85.0,424.5142952163896,389.4523631148346,210.03471136101825,208.625176457926,1.3066666666666668e-10,17.0
90.0,426.36690996176105,391.2389190434565,211.12611210446823,209.433496440684,1.32e-10,18.0
95.0,429.4774548647636,394.128113885918,213.0095581374826,210.60297180050628,1.3933333333333334e-10,19.0
100.0,433.8320410715143,398.4317914398204,216.506501818984,211.54103444283305,1.4666666666666668e-10,20.0
105.0,439.3938932894016,404.1109353854097,221.6335101461862,212.1830526037482,1.54e-10,21.0
110.0,446.1033979156153,411.5262728020852,229.51547786205143,211.6404592325974,1.5666666666666667e-10,22.0
115.0,453.8788160045874,420.1642341428093,239.14100174351515,210.49213069685365,1.5933333333333335e-10,23.0
120.0,462.6175995726229,429.905280314514,250.5534464514156,208.54864402685865,1.62e-10,24.0
125.0,472.1982200534785,440.5432833977243,263.6211178485928,205.7234483129436,1.7366666666666666e-10,25.0
130.0,482.4824101275711,451.97542271408383,278.5572879147286,201.6489939527387,1.8533333333333334e-10,26.0
135.0,493.3177307627834,464.0197098673227,295.4180461923161,196.04844613372865,1.97e-10,27.0
140.0,504.5403965706301,469.2969586748849,291.6819016206003,206.5291361096332,2.7033333333333333e-10,28.0
145.0,515.9783161747196,474.68844451024336,289.0777397639297,215.82640086780657,3.4366666666666667e-10,29.0
150.0,527.4543234065801,483.056160924234,321.2818596164278,188.10965268349548,4.17e-10,30.0
155.0,538.7895856424411,492.1668815009733,323.0771416723636,196.61597654489503,4.76e-10,31.0
160.0,549.8071760478022,500.8227248641802,324.43261120749366,205.1047833217285,5.35e-10,32.0
165.0,560.3357875894279,508.8365805051976,325.2211690986973,213.5062923331398,5.94e-10,33.0
170.0,570.2135503712702,515.7941804672804,324.60268579307774,222.315691481631,5.97e-10,34.0
175.0,579.2918926486545,521.7673964999699,323.2162372931823,230.8734409381251,6e-10,35.0
180.0,587.4393622821624,526.6071179386377,320.9907331362569,239.088819537652,6.03e-10,36.0
185.0,594.545301645343,531.825896495505,321.2568283131816,244.8477537003762,5.796666666666666e-10,37.0
190.0,600.5232469733837,535.7929596514409,320.5875189545283,250.23888453129365,5.563333333333334e-10,38.0
195.0,605.3139043902589,538.4576256897019,318.9713893277327,255.2165539092665,5.33e-10,39.0
200.0,608.8875407497586,537.9433567359692,311.32565262415545,263.508958269551,5.91e-10,40.0
205.0,611.2456193409115,536.0922937443449,302.917138446156,271.1339015095221,6.49e-10,41.0
210.0,612.4215100275884,533.9244058305019,301.5511312756457,270.2014820405305,7.07e-10,42.0
215.0,612.4801125358636,519.6666086900652,267.4047877563758,293.32769876010406,7.716666666666667e-10,43.0
220.0,611.5162529809041,504.36778834578274,236.2263398541075,311.7923819670643,8.363333333333333e-10,44.0
225.0,609.6517505297464,488.3315313022627,207.9395132322068,326.03723031401853,9.01e-10,45.0
230.0,607.0311067817947,476.0206967484187,189.52522522748032,333.1342692103934,9.673333333333333e-10,46.0
235.0,603.8158479274856,463.4364308159873,172.37349793614916,338.4452707905094,1.0336666666666665e-09,47.0
240.0,600.177649971719,450.8335809276487,156.55024372981396,342.1899269742264,1.1e-09,48.0
245.0,596.2904973139082,454.01606175082753,165.28274877640018,335.73641043538066,1.0283333333333332e-09,49.0
250.0,592.3222557586707,457.4258031284712,174.9331363267396,328.47984511829253,9.566666666666667e-10,50.0
255.0,588.4261661702072,461.22218681343975,185.6732933037273,320.4056901275727,8.85e-10,51.0
260.0,584.732861203718,461.35902033152615,189.87091966689195,315.6838379821328,8.160000000000001e-10,52.0
265.0,581.3435483314153,462.0823279159819,194.6903298725829,310.92092795744065,7.47e-10,53.0
270.0,578.3249648046465,463.53929871876494,200.1897729529238,306.22037879748973,6.78e-10,54.0
275.0,575.7065834653637,466.794285762439,210.3302035357315,298.21404910082265,6.136666666666667e-10,55.0
280.0,573.48034078497,469.637666553488,215.3585794360948,295.6733571132479,5.493333333333333e-10,56.0
285.0,571.6028993764886,474.2008591549241,227.29594642942965,287.098735727319,4.85e-10,57.0
290.0,570.0001908923143,481.88563963749135,246.35191112986803,273.8764284972364,4.68e-10,58.0
295.0,568.573759415098,489.9117067861831,267.1689555007272,259.00319916913475,4.51e-10,59.0
300.0,567.2082777078705,498.07153266189056,289.7183684886539,242.27112113167053,4.34e-10,60.0
305.0,565.7795566473959,494.6868880909595,281.48792273609854,247.90577366844295,4.47e-10,61.0
310.0,564.1624072263277,492.2711398197049,281.13901919555684,245.50246584203268,4.6e-10,62.0
315.0,562.2378227702716,488.7168588916704,273.30911511335034,250.47412067246523,4.73e-10,63.0
320.0,559.8990962682445,478.4274410690223,249.5317506125789,266.1577796005156,5.34e-10,64.0
325.0,557.0566444662446,467.9596580240871,228.03935785497964,278.9770932198923,5.95e-10,65.0
330.0,553.6414539573451,457.2035926874887,208.4913193977128,289.2003177788092,6.56e-10,66.0
335.0,549.6071813983768,458.450435005153,211.77625568402837,286.8304410710752,6.163333333333334e-10,67.0
340.0,544.9310250939654,459.74966267792325,220.14548922036224,278.60950402041976,5.766666666666666e-10,68.0
345.0,539.6135394957599,460.180432731867,228.21071560670032,269.7322292153101,5.37e-10,69.0
350.0,533.6775920825099,463.55880575326586,245.22106805128064,253.8810903511456,5.37e-10,70.0
355.0,527.1666692947383,465.970943338623,262.792112800648,236.2544541139244,5.37e-10,71.0
0.0,493.2147565771681,442.17716201624665,279.71340752405,188.9113424327868,3.6e-10,0.0
5.0,491.3138996873679,445.6811418944775,292.53465925699885,178.07730539241703,3.246666666666667e-10,1.0
10.0,488.89236887688986,448.335781014523,305.09347832940176,166.56081707572235,2.893333333333333e-10,2.0
15.0,486.0238860405833,450.21868632130486,317.4229704083908,154.41362315455126,2.54e-10,3.0
20.0,482.7946449817135,446.8678252253373,312.5753368305605,156.15405627299617,2.656666666666667e-10,4.0
25.0,479.3007723263356,443.1533834017463,307.4670506543191,157.77480552026418,2.773333333333333e-10,5.0
30.0,475.6458957657495,436.1547579970995,263.7969367305271,200.4160712402005,2.89e-10,6.0
35.0,471.9388381216002,432.2472990951614,252.49189579282285,209.01791081667272,2.923333333333333e-10,7.0
40.0,468.2914286408702,428.34289490250274,242.37120948451135,216.24614583487363,2.956666666666667e-10,8.0
45.0,464.8163996965724,424.55377739948017,233.380466624124,222.2945474132049,2.99e-10,9.0
50.0,461.6253200177525,421.251578197702,226.1358564147341,226.87874625926503,2.79e-10,10.0
55.0,458.8265073782384,418.30054569742833,219.92661955214817,230.66735598288392,2.59e-10,11.0
60.0,456.5228669970823,415.81775868328856,214.75257325925216,233.79672723725164,2.39e-10,12.0
65.0,454.8096186869293,416.2930358602802,216.39630882604877,232.4380546909669,2.1033333333333333e-10,13.0
70.0,453.77190627666687,417.4603536624125,219.107388420182,230.6429828398029,1.8166666666666666e-10,14.0
75.0,453.4823245563957,419.4156770019467,222.9924016211764,228.39915741950037,1.53e-10,15.0
80.0,453.99844611668544,420.1544982869223,222.82630025003385,229.4513930661493,1.52e-10,16.0
85.0,455.36047411433776,421.7994289884988,223.8738324146247,230.14604252776053,1.51e-10,17.0
90.0,457.5891769473319,424.3817003740256,226.1698582444167,230.47888619721968,1.5e-10,18.0
95.0,460.6842682858312,427.325936187867,228.2620830294508,231.4695966958328,1.53e-10,19.0
100.0,464.6233767431268,431.1853486353392,231.6184399607953,232.0545449703999,1.56e-10,20.0
105.0,469.36170626268586,435.9125388364611,236.24742432714837,232.1687378015265,1.59e-10,21.0
110.0,474.8324301510235,441.7026308494913,242.862657064092,231.2092718434876,1.6566666666666666e-10,22.0
115.0,480.947801510115,448.1946474771471,250.80593103163105,229.5217633087396,1.7233333333333333e-10,23.0
120.0,487.6009131353729,455.2697495985993,260.0949763956685,226.94741070108236,1.79e-10,24.0
