,Ls,TOA,Eff,Direct,Diffuse
0,0.0,481.90153826849195,440.90303203859776,306.46052262404055,156.32849931925256
1,5.0,481.2884895730919,443.5609493022848,314.3342330083886,150.26362359755376
2,10.0,480.11980262292326,445.4335239460302,321.619704963958,143.96955695589793
3,15.0,478.4618561461588,446.59166487118813,328.35348709282573,137.48625323065397
4,20.0,476.39426080492996,444.60124639038,324.8485999205852,139.24726333697078
5,25.0,474.00728361639375,442.200897796156,321.0162223608734,140.9124132968402
6,30.0,471.3993595140137,436.4931167391847,276.3359851725993,186.2292227518435
7,35.0,468.6747132255074,432.57479412882776,261.85965425978026,198.50597659191573
8,40.0,465.94108810972887,428.6120607197418,248.89583077595069,208.97236039975712
9,45.0,463.3075556904154,424.7030332488812,237.32133123778783,217.8857000128993
10,50.0,460.8823626522896,421.54652499313045,228.5797266081094,224.3799981221175
11,55.0,458.77076367347826,418.6572144551093,220.94221730688778,229.90115947467612
12,60.0,457.07279128508924,416.143592381921,214.37827792439,234.61083076457092
13,65.0,455.8809298957673,416.77006690798,215.26803298895774,234.30469060351427
14,70.0,455.27769045533313,417.9819061554367,217.1246034517135,233.55500314386424
15,75.0,455.33312254975556,419.86944832634333,220.03390129973607,232.36691514721778
16,80.0,456.10234632774154,421.33731252144025,221.14254827138103,232.7846095930921
17,85.0,457.6232288921626,423.5986964983073,223.38354629795,232.80831418646196
18,90.0,459.9143586282704,426.68296943224743,226.80636385182004,232.41465765165975
19,95.0,462.97347779871257,429.8401389094226,229.52441533246483,232.9252599732067
20,100.0,466.7765145539557,433.793458155479,233.43858949311388,232.97077751437806
21,105.0,471.2773127969886,438.4949826955949,238.5651865639774,232.47650712978785
22,110.0,476.40810099126116,443.99084706745015,245.23528017567094,231.11112429276653
23,115.0,482.0806816196235,450.06803272325766,253.16627840561543,228.95552827632818
24,120.0,488.18827382280443,456.61013149408933,262.3778909739818,225.85144246524135
25,125.0,494.60791086826606,462.74967509388784,270.78495658141594,223.21478896799061
26,130.0,501.20328360251716,469.0607743827541,280.353300762643,219.42729490710593
27,135.0,507.82792745112073,475.3896634614403,291.0861004046606,214.30646867067406
28,140.0,514.3286670140062,478.4479417532808,293.41483982119604,215.15476968847065
29,145.0,520.5492513364501,481.13337344230524,296.37754807020076,214.83235508384246
30,150.0,526.3341284174414,486.27405769635544,335.33120619468764,175.51494360659046
31,155.0,531.5323158082934,491.53559774313703,341.89480848017865,174.00091774762598
32,160.0,536.0013241198262,496.000185090262,347.91189271913555,172.1956888036354
33,165.0,539.6110826858832,499.5433872203147,353.2794873700767,170.0743021514395
34,170.0,542.2478034546381,500.6950980304284,353.21324990584594,171.4905210750959
35,175.0,543.8177027642924,500.66199325373645,352.17688482085345,172.65710282893377
36,180.0,544.2504833179961,499.37457480609885,350.12921985262807,173.54111041101254
37,185.0,543.5024623929176,494.53474822970054,338.9421592759044,180.92161506255366
38,190.0,541.5592186818114,488.3082170403461,326.8570121955482,187.73395912185805
39,195.0,538.437620390746,480.7381386942474,313.962008863204,193.9257323616784
40,200.0,534.1870922887841,466.2509864864873,284.83438070065296,210.94954161143528
41,205.0,528.8899802607418,450.5860870373197,256.8754656090679,225.24490863750214
42,210.0,522.6608796580414,435.3115886526928,237.36966113936944,230.1650319922365
43,215.0,515.6448098684942,407.6747496913936,190.02197471915278,253.08462206074515
44,220.0,508.0141440798298,380.5458926003714,150.72081431375503,267.23846312397256
45,225.0,499.9642428067463,354.42719537581075,118.50747043885984,274.3252615545941
46,230.0,491.70779529065226,344.6660910902161,112.39764406898566,270.0795895595703
47,235.0,483.467946830792,335.22809226336926,106.63757890129175,265.80292251404364
48,240.0,475.4703831967429,326.34276171642585,101.33682506149388,261.6348100638744
49,245.0,467.93465269211646,320.70098408904744,100.01202792498522,256.6150653070491
50,250.0,461.06512387979586,315.96889874537266,99.25106552455337,251.99748048932474
51,255.0,455.0420873552487,312.31843741460193,99.1505516659384,247.8696345914692
52,260.0,450.0135919203461,311.446392702517,102.08410894580491,243.44451599617685
53,265.0,446.08863479621033,311.9231662098391,105.99470781484881,239.45169580812825
54,270.0,443.33228124474107,313.8844543585544,110.9871831971266,235.92705949003235
55,275.0,441.76316155631935,318.0543371118994,119.32255435927765,231.08346831700203
56,280.0,441.35359097329194,322.48934445077157,124.55601217791488,230.1550375265775
57,285.0,442.0323082562444,329.62012951843553,135.71958948343334,225.4657442267467
58,290.0,443.6895728131264,335.7754767509906,144.14949470120985,222.82090936021018
59,295.0,446.18414319907225,343.04998324357143,153.68868067773585,220.18756112306468
60,300.0,449.35151644989423,351.2588954294025,164.26854246861652,217.4306429776581
61,305.0,453.0127547165711,352.0534906503801,159.30012207107157,224.13182392942858
62,310.0,456.98325892027253,354.7129662858611,160.37701174596148,225.972040162674
63,315.0,461.08094841751307,356.502279076886,156.58283939593792,232.46446474528847
64,320.0,465.13344293837565,360.083216746346,156.2058004003083,237.06676319306706
65,325.0,468.98399089645324,363.6310569738364,155.93419137920986,241.50798324956574
66,330.0,472.49602537224285,366.97557997146305,155.65324669116427,245.7236433491846
67,335.0,475.5563428567118,381.49257916275144,174.41129007396265,240.79219661487068
68,340.0,478.07698517603063,396.5856438132753,200.0826405033393,228.49186431387903
69,345.0,479.99596247404526,410.97440705611695,228.0176314932995,212.74043670095054
70,350.0,481.2769884477167,421.72737471623566,250.69399277193588,198.8760255166277
71,355.0,481.9084131356494,431.4860424683602,274.23738288096666,182.84727858999253
