Sols,elysium,oxia,mawrth_vallis,vernal,valles,aram,meridiani,eberswalde
1,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.66
2,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.66
3,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.66
4,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.66
5,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.66
6,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.66
7,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.66
8,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.66
9,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.66
10,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.66
11,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.66
12,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.66
13,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.66
14,24.66,24.66,24.66,24.66,24.66,24.66,24.66,24.66
15,24.66,24.66,24.551572700589777,24.66,24.66,24.66,24.66,24.66
16,24.66,24.66,23.75597463261105,24.66,24.66,24.66,24.66,24.66
17,24.66,24.66,22.9560653759856,24.66,24.66,24.66,24.66,24.66
18,24.66,24.66,22.349114097334617,24.66,24.66,24.66,24.66,24.66
19,24.66,24.66,21.45443826812474,24.66,24.66,24.66,24.66,24.66
20,24.66,24.233989207777903,20.641875888591148,24.66,24.66,24.66,24.66,24.66
21,24.66,24.09850895853935,20.402958035907883,24.66,24.66,24.66,24.66,24.66
22,24.66,23.96333911419975,20.165069999296573,24.66,24.66,24.66,24.66,24.66
23,24.66,23.82847896357641,19.928207339904564,24.66,24.66,24.66,24.66,24.66
24,24.66,23.69392779711613,19.69236563801215,24.66,24.66,24.66,24.66,24.66
25,24.66,23.13451093501484,18.949192576751237,24.66,24.66,24.66,24.66,24.66
26,24.66,22.573637896407927,18.20260058869763,24.66,24.66,24.66,24.66,24.66
27,24.66,22.208541181233656,17.64985945660389,24.66,24.66,24.66,24.66,24.66
28,24.66,21.558501859394926,16.81028720663761,24.66,24.66,24.66,24.66,24.66
29,24.66,20.993321793120487,16.053722332994873,24.66,24.66,24.66,24.66,24.66
30,24.66,20.851900386757663,15.802274494253977,24.66,24.66,24.66,24.66,24.66
31,24.66,20.71083752882747,15.552072980174806,24.66,24.66,24.66,24.66,24.66
32,24.66,20.570132310295104,15.303111613232957,24.66,24.66,24.66,24.66,24.66
33,24.66,20.42978382443044,15.055384246523497,24.66,24.66,24.66,24.66,24.66
34,24.66,19.449174810050877,13.99772164785936,24.077577680234572,24.66,24.66,24.66,24.66
35,24.66,18.46392071397793,12.93150320094595,23.322654417488266,24.66,24.66,24.66,24.66
36,24.66,17.67127864085613,12.152694222759012,22.56418933494963,24.66,24.193625427595208,24.66,24.66
37,24.66,16.590554143139258,10.940331711241788,21.802247746704914,24.66,23.370829809860506,24.66,24.66
38,24.66,15.591573443969153,9.849232688538258,21.036894334091958,24.66,22.541570227726496,24.66,24.66
39,24.66,15.428702572359041,9.561261493235888,20.695472051922188,24.66,22.209810227298547,24.66,24.66
40,24.66,15.266359412493792,9.275159755460182,20.35612145389168,24.66,21.879951715240058,24.66,24.66
