Sols,elysium,oxia,mawrth_vallis,vernal,valles,aram,meridiani,eberswalde
1,18.481544405265304,19.762221422135834,19.71072039129708,19.90538761175957,12.962889566834525,18.146128649117298,18.486512669410278,7.729428891928755
2,18.371787890997986,19.68393352859555,19.58536830920714,19.746015734323617,12.832443233447941,17.98171942182968,18.337325431432607,7.571406198303245
3,18.262159948047483,19.605709148802863,19.46017914008658,19.586906792612886,12.702203380083596,17.817600699085464,18.18837585804419,7.413731421876768
4,18.15278926961079,19.527611838056615,19.335315968458765,19.428324075047094,12.572376752316325,17.654063403248255,18.03990192149142,7.256753106018098
5,18.04367525196388,19.449641389943636,19.21077794541351,19.270265841234785,12.44296203906208,17.491105474484513,17.891902102935443,7.10046817441193
6,17.93481729279938,19.371797598386035,19.086564224251145,19.11273035654045,12.313957933396635,17.32872486025814,17.744374888387465,6.944873564331322
7,17.945541547180497,19.299990245281585,18.964690870550577,19.04872213077673,12.439577915703039,17.253557429000757,17.764579397424296,7.067992479440942
8,17.953831245856783,19.22777015716298,18.843493858987262,18.981427501543862,12.5625587630562,17.17472074444937,17.781296597985868,7.1857359605156335
9,17.95969837968,19.286620375312665,18.854451988672164,18.910870196252436,12.617175823113561,17.09224344581026,17.79454981705457,7.100930113120445
10,17.963154895006458,19.11853263845779,18.63955276953754,18.837073816574993,12.782450015186164,17.006154008674653,17.80436226370207,7.350637652055842
11,17.964212693843947,19.045083688000148,18.52036872752735,18.76006183903559,12.897609677965843,16.916480745845305,17.810757029620593,7.452543445658284
12,17.843556878041454,18.965318229960417,18.399833444069333,18.58685137688569,12.755979311912848,16.73661389446313,17.64649646092076,7.271238840691937
13,17.72321543111586,18.88568677614079,18.279607457034558,18.41427759733011,12.614836621286402,16.557461842462533,17.482820943845283,7.090856746956937
14,17.603187533978694,18.80618910141711,18.159689972761004,18.242338160067206,12.474179926875163,16.37902174919697,17.319728394598915,6.911392470546185
15,17.483472369675596,18.726824981043464,18.040080199623187,18.071030733397784,12.334007555249757,16.201290785308714,17.157216736808206,6.732841341436033
16,17.461145859715543,18.600056081708935,17.861576475464737,17.95657748769275,12.50879883405504,16.12669672747185,17.1519750055711,6.901749521504995
17,17.438756575826496,18.473568412968284,17.683490581959017,17.84035616025929,12.68253682529734,16.051787124084935,17.145105913882258,7.068319762758984
18,17.48204573902243,18.478842869662756,17.63730303179094,17.78812255483573,12.723745253103866,16.042306443997987,17.13662141669522,7.035349564379428
19,17.412008918972788,18.257869049282682,17.36500304133829,17.620886737020978,12.990439116683076,15.919253481979316,17.126533403339852,7.3398732315731
20,17.389434186620722,18.132221557186096,17.18816483588756,17.49945118734271,13.161048385203738,15.843419511465084,17.114853697842378,7.499547418681391
21,17.269721852643706,18.054391065114917,17.07094147176717,17.32008278300167,13.016144053006494,15.66485416469788,16.94490295516789,7.3104108976105895
22,17.150323004606793,17.97669075757513,16.95401941979024,17.14141618233425,12.871746508582424,15.48701071603365,16.775588095085737,7.122275453694178
23,17.03123682159677,17.899120416811293,16.837397905460943,16.96344863943656,12.727853979494192,15.309886247006537,16.60690673839675,6.935135788349606
24,16.91246248485015,17.821679825432213,16.72107615627421,16.786177419148444,12.58446469950341,15.133477850949335,16.438856514803636,6.7489866310390925
25,16.871013310300512,17.67450212218588,16.524457949051563,16.6453820645266,12.740051596910433,15.039586178754375,16.407987604481097,6.894065628747971
26,16.829553538710563,17.52763732838759,16.32830619143389,16.50301620964897,12.894640781359508,14.945478391676097,16.375618210794972,7.03689959493994
27,16.78808351138098,17.512566290995963,16.32984200693877,16.424835542732453,12.98249661233675,14.85115781261716,16.276019544095742,7.046027051542525
28,16.746603567893448,17.271278559688568,15.992049573858578,16.231850007719512,13.18262907503369,14.756627740976661,16.288208394432072,7.279477668490737
29,16.70511404611742,17.125348692080454,15.797290583085887,16.084861957411796,13.33425562783941,14.661891452786513,16.25140897929805,7.415695959548264
30,16.58660114966365,17.049595847522262,15.683589115130731,15.900580361263728,13.186430039293365,14.485148655038666,16.076603927597954,7.219505444139933
31,16.468400157753223,16.97396915848258,15.570180405337075,15.717063441960915,13.039129452453738,14.309132532969906,15.90248435834128,7.02439350146366
32,16.35051024950971,16.898468414867455,15.457063699912148,15.534308026475337,12.892352002780049,14.133840098862771,15.729047583469717,6.83035420198134
33,16.23293060621708,16.82309340693286,15.344238247004105,15.352310954945363,12.746095832353747,13.959268377283783,15.556290925465838,6.63738164875296
34,16.171096104197744,16.655581695361484,15.130329663120877,15.18576345449596,12.879828165217743,13.84561258630978,15.498884456466937,6.755809108658103
35,16.109307264018824,16.488414012638277,14.916934248270222,15.017860102904002,13.012631158817511,13.731845939519802,15.440122643311746,6.872116332974242
36,16.047564275168533,16.453071159437975,14.835532259610323,14.848615504905265,13.013028270558541,13.617971309482867,15.380017282720225,6.789101133260151
37,15.985867325817331,16.191542639220565,14.528112658674205,14.678044165249696,13.239034232926134,13.503991546854843,15.318580098568813,7.043798110956941
38,15.924216602823556,16.025402963449604,14.316249416583736,14.506160489288899,13.369078748369054,13.389909480510687,15.255822742285078,7.15386420069736
39,15.80717659885532,15.951866831088367,14.206268097194915,14.31828440968596,13.218744464464617,13.215529736399198,15.07708405408548,6.951550115673556
40,15.690446163184157,15.878452625034868,14.09657043975972,14.13123242327693,13.068952224744189,13.041878935631836,14.89907841827795,6.750389681285384
41,15.574024477008564,15.805160143129646,13.98715571266203,13.945000915287668,12.919700074817277,12.868954031074864,14.721802828429942,6.5503763190991355
42,15.457910723692766,15.731989183548437,13.87802318617274,13.759586286799786,12.770986067340122,12.696751988332199,14.545254290439043,6.3515034881932
43,15.411135808077306,15.490267412505563,13.588322741450048,13.55436679184384,12.789836337709797,12.56950808555488,14.436914455586496,6.460521042570375
44,15.365380814463679,15.248531521591298,13.298171323425327,13.347745588419881,12.80609514393903,12.442557876130529,14.326834713226836,6.568083656263862
45,15.386381507207291,15.138263723650649,13.20479558293332,13.205480302014076,12.754040955205477,12.38164187584412,14.215031716146648,6.542722993398411
46,15.295128020356211,14.801454930580572,12.771185202695728,12.94858278471007,12.812697782113469,12.207754947936289,14.101522007368542,6.742461913448064
47,15.252403010196685,14.559681058556908,12.479707355229152,12.73785726857753,12.821297024623295,12.081684455745217,13.986322020782033,6.845738166767798
48,15.141646410660233,14.48656810991261,12.368645518280475,12.546415004071022,12.660352922080698,11.911668437663272,13.801963448666909,6.64085508813848
49,15.031171424175541,14.413579913619323,12.25788636873242,12.355865658616015,12.500038064944576,11.742368093332297,13.618408149577316,6.437164274376851
50,14.920977334704833,14.340716256812575,12.147429081642208,12.166205067487244,12.340349993045388,11.573780410160186,13.435652623553645,6.234658787401323
51,14.81106342803094,14.267976926991098,12.037272834315328,11.977429085384417,12.181286255832127,11.405902388236123,13.25369338588609,6.033331729504709
52,14.748140201325914,14.008849733417993,11.731600444160271,11.750482859016872,12.16842205993172,11.262152671016132,13.118643709416569,6.115701169530274
53,14.6862576482094,13.74976510932375,11.425620669911519,11.522398964163877,12.153127807666865,11.118778037764205,12.982070599783201,6.196767582174784
54,14.650575164229814,13.41750570827115,11.038578897033878,11.23534785961306,12.130502828087407,10.979424162952297,12.870040210440347,6.34709453189535
55,14.616741338880674,12.85873264978379,10.424216190301644,10.945318687950003,12.32898462227472,10.840200523374891,12.754299776167512,6.833500970109097
56,14.584747361781695,12.526503979999115,10.035598037630809,10.718088613485474,12.361301028145569,10.701108518560929,12.634885902439807,6.9764337302232935
57,14.50787324498958,12.154276376524852,9.615492902700792,10.41373959108654,12.355969655915013,10.538727903096472,12.465718193348003,7.172984485392611
58,14.432059537831307,11.877195749282263,9.29027512694063,10.15605838359137,12.300873300645755,10.37681029422556,12.29526227790097,7.225814506244463
59,14.332137421314656,11.804915221128258,9.177141821273274,9.955382584511728,12.116995110513392,10.211708412492014,12.09748439654369,7.009732613079004
60,14.232448916004135,11.732765000043567,9.06434993151438,9.75575426799111,11.933947674079292,10.047311174666405,11.900669469176986,6.7949587035197965
61,14.132993475732462,11.660744851111081,8.95189842733233,9.557167966406036,11.751727238034247,9.883615573375137,11.70481280730694,6.5814848601005025
62,13.994348207696948,11.307378978867318,8.496799796536116,9.314982510786695,11.739505049873483,9.683533741806725,11.543873613926383,6.591954506340077
63,13.853892786539697,10.952782008349292,8.038537911084596,9.073628038873046,11.727219784856883,9.482912504846336,11.383022904579994,6.602776396941799
64,13.711636977103941,10.72844146449587,7.774361162006574,8.898843240241208,11.583390782668044,9.281760370058315,11.156522953074415,6.482464426712486
65,13.567590507060359,10.276353554995616,7.167280852660145,8.611621153842133,11.666028675377804,9.080085781060667,11.043381650725324,6.589023831910442
66,13.421763067031213,9.918099475557556,6.6996856572093995,8.372747320682718,11.653559082261916,8.877897117921105,10.882814353986152,6.600874884675213
67,13.313586658626251,9.84011392050667,6.572017530599751,8.17933198857015,11.471854676416491,8.71228756982396,10.688383541238883,6.3904086500454165
68,13.205690680482979,9.762287999599357,6.444817189899314,7.986937552882954,11.290973859946009,8.547415584272384,10.494916442946796,6.181204097311966
69,13.098074405630214,9.684621386069205,6.318082921104281,7.7955586250643,11.110912899867454,8.3832778764406,10.302408282369365,5.973253663070639
70,12.932477100163384,9.320915264844686,5.8568935692754955,7.545622824706223,11.075851506517976,8.166659911512754,10.124799525011875,5.963218904130074
71,12.765233468078478,8.956185750772711,5.393205123522754,7.296594521049694,11.04083284941296,7.949672097138106,9.947401860785059,5.953651902923284
72,12.662094426707885,8.721920470679073,5.058526277883487,7.048471121386196,10.940116522410152,7.798063012781419,9.770217619253483,5.747325213545582
73,12.444065200918393,8.260115731002546,4.494874250332731,6.801250034965789,10.952707764712107,7.53283552500843,9.593249101406046,5.881248383561216
74,12.271943475881331,7.892352823081759,4.023851088989948,6.554928673049379,10.917819308284473,7.314784940512992,9.41649857988351,5.873053495812966
75,12.156475880838096,7.8097894617710635,3.885356069891606,6.369071469253617,10.7387914766963,7.149606745938786,9.226023080635027,5.6686366688290475
76,12.041336993326675,7.727415265094842,3.7474580107732267,6.1842061379518345,10.560577720306867,6.985194864677413,9.036508400865513,5.465433304065798
77,11.92652587759848,7.64522979964946,3.6101543385370998,6.000327385773518,10.383174337354161,6.821545741561687,8.847949693893526,5.26343619815068
78,11.763082240879399,7.3035312741047465,3.177489590957225,5.768654254500214,10.350327508932002,6.613545345871927,8.680118020214636,5.2559243105624125
79,11.598087533464518,6.960943298494076,2.74283439300333,5.537825880328799,10.317515917303126,6.4052324569206744,8.512488502084409,5.24885696234691
80,11.431552423904193,6.748953632051055,2.437697915218728,5.373580608644574,10.218999182112508,6.196614688268023,8.34506342706867,5.11074768235979
81,11.263487530986446,6.309558710349157,1.9040978155518966,5.096911136952966,10.233782568255188,5.9876995884119895,8.177845054220711,5.199601341421071
82,11.093903423938626,5.964339950607399,1.4636365459694858,4.868602667544084,10.201078833294854,5.778494641233857,8.010835614312356,5.1938378467552635
83,10.971769982317957,5.877958060270516,1.3172472036354688,4.689905075431524,10.024661886681445,5.6141177584868505,7.824261427334397,4.995213071988141
84,10.8500152961094,5.791795175614487,1.1715834537284278,4.512171597897994,9.849049722483727,5.450533994574633,7.638644748018031,4.797755760029499
85,10.728638190731628,5.705850741389957,1.0266416997817986,4.335397033323763,9.67423866942892,5.287739522696992,7.453980662388062,4.6014590488480716
86,10.329984318259,5.105360565688263,0.4078183773109276,3.927736560033777,9.263548483131427,4.852693491962587,7.088869135955646,4.303536284702339
87,9.930452545892724,4.502025906730458,0.0,3.518118525680382,8.84673943500897,4.413994295261708,6.7205097903405155,4.000417653643091
88,9.530052752275957,4.027349606756062,0.0,3.1065787155214806,8.292403180773471,3.9716925283326767,6.348949396823941,3.4949598222253995
89,9.128794761194415,3.3233431094768986,0.0,2.693152568692323,7.9586220851293,3.525838353825734,5.974234309715562,3.3242556046149034
90,8.726688341828503,2.7116027657000314,0.0,2.2778751810016713,7.523892920689675,3.076481504475649,5.5964104695333345,3.006019511801584
91,8.601396385991203,2.6118664213714857,0.0,2.0926209558264404,7.320010512371343,2.8967083288084527,5.3969185518933935,2.78567816626661
92,8.476528519895679,2.512453228996199,0.0,1.9084908173323296,7.117281754671973,2.7179655263092943,5.198599193893677,2.566870330452545
93,8.352083308077786,2.413362141541758,0.0,1.7254779447795636,6.915700119761289,2.540247191375952,5.001445503545084,2.349585331591379
94,7.956702517035178,1.8498207062148306,0.0,1.3217873389998795,6.4877294247327635,2.105111743562937,4.625832365723113,2.0290915735205726
95,7.560679372394326,1.2841777241351868,0.0,0.9167359921643932,6.0547922223413355,1.6672108171523465,4.2476752597068765,1.7043721836260162
96,7.229764055060743,0.8479369789740743,0.0,0.5760985843160612,5.551225781311344,1.2265951750400124,3.867020610860483,1.2440270079674247
97,6.784961038068254,0.18311082249786523,0.0,0.12090376718659324,5.156112241099768,0.7833150574229376,3.4839143632162677,1.006146207605957
98,6.387067239485639,0.0,0.0,0.0,4.708740465968244,0.3374201863335217,3.0984019836845724,0.6692339635857525
99,6.259925300396454,0.0,0.0,0.0,4.4842392688378805,0.1473954788289287,2.8901467298744548,0.4331365351362501
100,6.133249776915689,0.0,0.0,0.0,4.261254578012193,0.0,2.683270836458746,0.19893772440615826
101,6.007038958014526,0.0,0.0,0.0,4.039776149486205,0.0,2.4777651673649643,0.0
102,5.618976812638992,0.0,0.0,0.0,3.6018181492346337,0.0,2.0986891898068083,0.0
103,5.2304894082481574,0.0,0.0,0.0,3.160059387560764,0.0,1.717748731917562,0.0
104,4.84158561176194,0.0,0.0,0.0,2.6488378681353013,0.0,1.3349883845994297,0.0
105,4.452274228694694,0.0,0.0,0.0,2.2472362952878164,0.0,0.95045220581863,0.0
106,4.062564003494552,0.0,0.0,0.0,1.7945439310757396,0.0,0.5641837258862309,0.0
107,3.9347779461831776,0.0,0.0,0.0,1.556335789303383,0.0,0.3511574099166243,0.0
108,3.8074969141305623,0.0,0.0,0.0,1.3199979612970143,0.0,0.13970090497870083,0.0
109,3.6807189114185515,0.0,0.0,0.0,1.085515762111107,0.0,0.0,0.0
110,3.3664587111145297,0.0,0.0,0.0,0.9583437219389892,0.0,0.0,0.0
111,3.0516578363443947,0.0,0.0,0.0,0.8360472346929313,0.0,0.0,0.0
112,2.736325987911149,0.0,0.0,0.0,0.6528193886687298,0.0,0.0,0.0
113,2.4204727961844505,0.0,0.0,0.0,0.5875996416047762,0.0,0.0,0.0
114,2.1041078215151945,0.0,0.0,0.0,0.4795356609738231,0.0,0.0,0.0
115,1.9752237935503991,0.0,0.0,0.0,0.2706177423246436,0.0,0.0,0.0
116,1.846886630539131,0.0,0.0,0.0,0.06320270392366031,0.0,0.0,0.0
117,1.719094012090868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,1.4110634865893477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,1.1026695125798551,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0.7939212060715893,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,0.48482761005363956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0.17539769496043997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.046420500205960405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
