Ls,TOA,DD,B/E,D/E
0.0,520.1427302322344,3.87e-10,0.5538585265832192,0.40241208723709215
5.0,512.6837883680518,3.56e-10,0.5764755362905364,0.38462466944253937
10.0,504.8813762139523,3.25e-10,0.5995799059009018,0.3658364628879874
15.0,496.8380183385203,2.94e-10,0.6232678398554498,0.3459986015507127
20.0,488.6648062831719,2.6433333333333335e-10,0.6470282659052653,0.3255788055256536
25.0,480.4791361420952,2.346666666666667e-10,0.6715662664686269,0.30403733911142655
30.0,472.4026370365996,2.05e-10,0.6079154712196528,0.3779349622187422
35.0,464.5592876042119,1.8833333333333333e-10,0.5838994229474977,0.40237512595218583
40.0,457.0736893555878,1.7166666666666667e-10,0.5622741163455683,0.4238242611683446
45.0,450.0694421545907,1.55e-10,0.5429027649373349,0.44252568481408
50.0,443.6675504586604,1.4533333333333335e-10,0.5354783720298705,0.451433640109205
55.0,437.9847820042019,1.3566666666666666e-10,0.5299223189094912,0.45837771458746723
60.0,433.1319060134073,1.26e-10,0.5263051320748544,0.46338056146644796
65.0,429.21175767715806,1.2666666666666667e-10,0.5156138661365781,0.473039149782435
70.0,426.3171098155258,1.2733333333333333e-10,0.5070862913321826,0.48061019444704195
75.0,424.5283785747218,1.28e-10,0.5007485210133306,0.4861690392339583
80.0,423.9112416226724,1.2933333333333333e-10,0.49663127235307447,0.48976957275679606
85.0,424.5142952163896,1.3066666666666668e-10,0.49476475522209756,0.491444407900522
90.0,426.36690996176105,1.32e-10,0.49517471260469814,0.49120485560070115
95.0,429.4774548647636,1.3933333333333334e-10,0.49597378331432157,0.49037026138385353
100.0,433.8320410715143,1.4666666666666668e-10,0.4990560431733864,0.48761044463279263
105.0,439.3938932894016,1.54e-10,0.5044073518796264,0.4828994117676468
110.0,446.1033979156153,1.5666666666666667e-10,0.5144894186738889,0.4744201909724777
115.0,453.8788160045874,1.5933333333333335e-10,0.5268829328687993,0.4637628443419712
120.0,462.6175995726229,1.62e-10,0.541599469373588,0.45080136211748284
125.0,472.1982200534785,1.7366666666666666e-10,0.5582848614269164,0.43567179963034275
130.0,482.4824101275711,1.8533333333333334e-10,0.5773418513663047,0.41794061238299146
135.0,493.3177307627834,1.97e-10,0.598839303293501,0.3974080676779899
140.0,504.5403965706301,2.7033333333333333e-10,0.5781140689688423,0.4093411300926851
145.0,515.9783161747196,3.4366666666666667e-10,0.5602517212487719,0.41828579632544843
150.0,527.4543234065801,4.17e-10,0.6091178806563172,0.3566368580858025
