Ls,tau
0.00E+00,5.20E-01
1.50E+01,4.18E-01
3.00E+01,3.19E-01
4.50E+01,2.90E-01
6.00E+01,2.82E-01
7.50E+01,2.39E-01
9.00E+01,2.19E-01
1.05E+02,2.55E-01
1.20E+02,2.25E-01
1.35E+02,2.32E-01
1.50E+02,3.64E-01
1.65E+02,4.13E-01
1.80E+02,4.82E-01
1.95E+02,5.76E-01
2.10E+02,6.32E-01
2.25E+02,9.28E-01
2.40E+02,1.11E+00
2.55E+02,9.81E-01
2.70E+02,8.57E-01
2.85E+02,7.79E-01
3.00E+02,6.44E-01
3.15E+02,7.20E-01
3.30E+02,8.51E-01
3.45E+02,7.39E-01
3.60E+02,5.21E-01
