Ls,DD
0.00E+00,3.60E-10
1.50E+01,2.54E-10
3.00E+01,2.89E-10
4.50E+01,2.99E-10
6.00E+01,2.39E-10
7.50E+01,1.53E-10
9.00E+01,1.50E-10
1.05E+02,1.59E-10
1.20E+02,1.79E-10
1.35E+02,2.17E-10
1.50E+02,3.45E-10
1.65E+02,3.83E-10
1.80E+02,3.78E-10
1.95E+02,4.11E-10
2.10E+02,5.78E-10
2.25E+02,1.06E-09
2.40E+02,9.96E-10
2.55E+02,8.88E-10
2.70E+02,6.69E-10
2.85E+02,4.74E-10
3.00E+02,4.55E-10
3.15E+02,7.15E-10
3.30E+02,7.51E-10
3.45E+02,5.56E-10
3.60E+02,3.62E-10
