Ls,tau
0.00E+00,5.07E-01
1.50E+01,3.57E-01
3.00E+01,4.03E-01
4.50E+01,3.12E-01
6.00E+01,2.81E-01
7.50E+01,2.55E-01
9.00E+01,2.56E-01
1.05E+02,2.44E-01
1.20E+02,2.43E-01
1.35E+02,2.19E-01
1.50E+02,4.34E-01
1.65E+02,3.97E-01
1.80E+02,4.41E-01
1.95E+02,5.12E-01
2.10E+02,7.00E-01
2.25E+02,1.06E+00
2.40E+02,1.30E+00
2.55E+02,1.10E+00
2.70E+02,9.68E-01
2.85E+02,7.92E-01
3.00E+02,5.76E-01
3.15E+02,6.88E-01
3.30E+02,9.44E-01
3.45E+02,7.67E-01
3.60E+02,5.07E-01
