Ls,tau
0.00E+00,5.69E-01
1.50E+01,4.46E-01
3.00E+01,3.26E-01
4.50E+01,3.21E-01
6.00E+01,2.61E-01
7.50E+01,2.52E-01
9.00E+01,2.43E-01
1.05E+02,2.45E-01
1.20E+02,2.33E-01
1.35E+02,2.23E-01
1.50E+02,4.38E-01
1.65E+02,4.94E-01
1.80E+02,5.57E-01
1.95E+02,5.87E-01
2.10E+02,6.67E-01
2.25E+02,1.01E+00
2.40E+02,1.24E+00
2.55E+02,1.03E+00
2.70E+02,9.34E-01
2.85E+02,7.85E-01
3.00E+02,5.65E-01
3.15E+02,6.59E-01
3.30E+02,9.40E-01
3.45E+02,8.15E-01
3.60E+02,5.69E-01
