Ls,DD
0.00E+00,7.89E-10
1.50E+01,5.83E-10
3.00E+01,3.97E-10
4.50E+01,3.22E-10
6.00E+01,2.52E-10
7.50E+01,1.74E-10
9.00E+01,1.72E-10
1.05E+02,2.18E-10
1.20E+02,2.32E-10
1.35E+02,2.79E-10
1.50E+02,5.86E-10
1.65E+02,8.38E-10
1.80E+02,1.00E-09
1.95E+02,1.19E-09
2.10E+02,1.23E-09
2.25E+02,1.69E-09
2.40E+02,1.86E-09
2.55E+02,1.55E-09
2.70E+02,1.26E-09
2.85E+02,1.08E-09
3.00E+02,9.97E-10
3.15E+02,1.23E-09
3.30E+02,1.43E-09
3.45E+02,1.20E-09
3.60E+02,7.91E-10
