Ls,tau
0.00E+00,5.07E-01
1.50E+01,4.13E-01
3.00E+01,2.87E-01
4.50E+01,2.71E-01
6.00E+01,2.60E-01
7.50E+01,2.29E-01
9.00E+01,2.07E-01
1.05E+02,2.53E-01
1.20E+02,2.08E-01
1.35E+02,2.27E-01
1.50E+02,3.59E-01
1.65E+02,4.16E-01
1.80E+02,4.67E-01
1.95E+02,5.54E-01
2.10E+02,6.05E-01
2.25E+02,8.96E-01
2.40E+02,1.09E+00
2.55E+02,9.59E-01
2.70E+02,8.37E-01
2.85E+02,7.50E-01
3.00E+02,6.12E-01
3.15E+02,7.26E-01
3.30E+02,8.37E-01
3.45E+02,7.29E-01
3.60E+02,5.08E-01
