Ls,tau
0.00E+00,6.35E-01
1.50E+01,4.82E-01
3.00E+01,4.00E-01
4.50E+01,3.41E-01
6.00E+01,3.21E-01
7.50E+01,2.83E-01
9.00E+01,2.48E-01
1.05E+02,2.85E-01
1.20E+02,2.31E-01
1.35E+02,2.78E-01
1.50E+02,4.24E-01
1.65E+02,5.18E-01
1.80E+02,5.76E-01
1.95E+02,6.36E-01
2.10E+02,7.25E-01
2.25E+02,1.13E+00
2.40E+02,1.20E+00
2.55E+02,1.05E+00
2.70E+02,9.60E-01
2.85E+02,8.17E-01
3.00E+02,7.01E-01
3.15E+02,9.56E-01
3.30E+02,1.04E+00
3.45E+02,8.52E-01
3.60E+02,6.36E-01
