Ls,DD
0.00E+00,7.22E-10
1.50E+01,4.42E-10
3.00E+01,4.29E-10
4.50E+01,2.84E-10
6.00E+01,2.21E-10
7.50E+01,1.78E-10
9.00E+01,1.94E-10
1.05E+02,2.03E-10
1.20E+02,2.51E-10
1.35E+02,2.71E-10
1.50E+02,7.00E-10
1.65E+02,7.91E-10
1.80E+02,7.93E-10
1.95E+02,8.08E-10
2.10E+02,1.20E-09
2.25E+02,1.99E-09
2.40E+02,2.10E-09
2.55E+02,1.56E-09
2.70E+02,1.28E-09
2.85E+02,9.94E-10
3.00E+02,7.58E-10
3.15E+02,9.43E-10
3.30E+02,1.41E-09
3.45E+02,1.23E-09
3.60E+02,7.22E-10
