Ls,tau
0.00E+00,4.37E-01
1.50E+01,3.45E-01
3.00E+01,3.12E-01
4.50E+01,2.95E-01
6.00E+01,1.59E-01
7.50E+01,1.65E-01
9.00E+01,1.54E-01
1.05E+02,1.81E-01
1.20E+02,1.62E-01
1.35E+02,1.88E-01
1.50E+02,4.00E-01
1.65E+02,5.28E-01
1.80E+02,5.60E-01
1.95E+02,5.75E-01
2.10E+02,6.19E-01
2.25E+02,1.06E+00
2.40E+02,9.70E-01
2.55E+02,8.98E-01
2.70E+02,7.33E-01
2.85E+02,5.64E-01
3.00E+02,5.14E-01
3.15E+02,9.92E-01
3.30E+02,8.66E-01
3.45E+02,6.16E-01
3.60E+02,4.35E-01
