Ls,DD
0.00E+00,7.71E-10
1.50E+01,5.47E-10
3.00E+01,4.02E-10
4.50E+01,3.04E-10
6.00E+01,2.39E-10
7.50E+01,1.79E-10
9.00E+01,1.72E-10
1.05E+02,2.19E-10
1.20E+02,2.19E-10
1.35E+02,3.14E-10
1.50E+02,6.11E-10
1.65E+02,9.06E-10
1.80E+02,9.53E-10
1.95E+02,9.73E-10
2.10E+02,1.10E-09
2.25E+02,1.72E-09
2.40E+02,1.67E-09
2.55E+02,1.37E-09
2.70E+02,1.20E-09
2.85E+02,1.00E-09
3.00E+02,9.52E-10
3.15E+02,1.42E-09
3.30E+02,1.44E-09
3.45E+02,1.09E-09
3.60E+02,7.72E-10
