Ls,DD
0.00E+00,7.27E-10
1.50E+01,5.34E-10
3.00E+01,3.25E-10
4.50E+01,2.68E-10
6.00E+01,2.16E-10
7.50E+01,1.64E-10
9.00E+01,1.59E-10
1.05E+02,2.14E-10
1.20E+02,2.11E-10
1.35E+02,2.67E-10
1.50E+02,5.60E-10
1.65E+02,8.12E-10
1.80E+02,9.35E-10
1.95E+02,1.11E-09
2.10E+02,1.17E-09
2.25E+02,1.68E-09
2.40E+02,1.85E-09
2.55E+02,1.52E-09
2.70E+02,1.22E-09
2.85E+02,1.03E-09
3.00E+02,9.68E-10
3.15E+02,1.31E-09
3.30E+02,1.41E-09
3.45E+02,1.14E-09
3.60E+02,7.29E-10
