Ls,tau
0.00E+00,5.43E-01
1.50E+01,3.94E-01
3.00E+01,2.86E-01
4.50E+01,2.67E-01
6.00E+01,2.61E-01
7.50E+01,2.59E-01
9.00E+01,2.80E-01
1.05E+02,3.00E-01
1.20E+02,2.60E-01
1.35E+02,3.20E-01
1.50E+02,4.41E-01
1.65E+02,5.20E-01
1.80E+02,5.15E-01
1.95E+02,6.26E-01
2.10E+02,6.52E-01
2.25E+02,1.16E+00
2.40E+02,1.05E+00
2.55E+02,1.04E+00
2.70E+02,8.55E-01
2.85E+02,6.86E-01
3.00E+02,6.60E-01
3.15E+02,1.05E+00
3.30E+02,1.02E+00
3.45E+02,7.76E-01
3.60E+02,5.43E-01
