Ls,DD
0.00E+00,4.97E-10
1.50E+01,3.37E-10
3.00E+01,2.59E-10
4.50E+01,2.07E-10
6.00E+01,1.12E-10
7.50E+01,1.20E-10
9.00E+01,1.23E-10
1.05E+02,1.62E-10
1.20E+02,1.79E-10
1.35E+02,2.47E-10
1.50E+02,7.01E-10
1.65E+02,1.16E-09
1.80E+02,1.30E-09
1.95E+02,1.38E-09
2.10E+02,1.34E-09
2.25E+02,2.08E-09
2.40E+02,1.53E-09
2.55E+02,1.16E-09
2.70E+02,8.11E-10
2.85E+02,5.43E-10
3.00E+02,6.36E-10
3.15E+02,1.54E-09
3.30E+02,1.24E-09
3.45E+02,7.95E-10
3.60E+02,4.95E-10
