Ls,tau
0.00E+00,5.14E-01
1.50E+01,3.88E-01
3.00E+01,4.24E-01
4.50E+01,4.22E-01
6.00E+01,4.11E-01
7.50E+01,3.16E-01
9.00E+01,2.94E-01
1.05E+02,2.92E-01
1.20E+02,2.81E-01
1.35E+02,3.00E-01
1.50E+02,4.09E-01
1.65E+02,4.05E-01
1.80E+02,4.34E-01
1.95E+02,5.28E-01
2.10E+02,6.97E-01
2.25E+02,1.21E+00
2.40E+02,1.24E+00
2.55E+02,1.17E+00
2.70E+02,1.01E+00
2.85E+02,8.01E-01
3.00E+02,6.80E-01
3.15E+02,9.57E-01
3.30E+02,1.01E+00
3.45E+02,7.54E-01
3.60E+02,5.16E-01
